epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,3872.42,1.45742,1.29038,1.17107,0.42708,0.33456,0.31256,0.18371,1.43349,1.26195,1.16934,0.005248,0.005248,0.005248
98,3910.87,1.45531,1.27682,1.16715,0.43593,0.32105,0.31708,0.18616,1.42866,1.2465,1.1673,0.0051985,0.0051985,0.0051985
99,3948.84,1.45499,1.28052,1.1698,0.41625,0.33948,0.3185,0.18907,1.42748,1.26537,1.16632,0.005149,0.005149,0.005149
100,3986.68,1.44313,1.27074,1.16869,0.42032,0.33156,0.3182,0.1874,1.42469,1.2476,1.16453,0.0050995,0.0050995,0.0050995
101,4025.38,1.45034,1.26328,1.16487,0.426,0.33109,0.3147,0.18526,1.4245,1.26173,1.16052,0.00505,0.00505,0.00505
102,4063.28,1.44747,1.26846,1.16023,0.39842,0.34804,0.31994,0.18815,1.41473,1.2393,1.15672,0.0050005,0.0050005,0.0050005
103,4101.68,1.44332,1.26375,1.16301,0.44712,0.32574,0.32488,0.19118,1.41551,1.2444,1.161,0.004951,0.004951,0.004951
104,4140.52,1.4528,1.26659,1.16351,0.43429,0.34187,0.32457,0.19216,1.42386,1.24611,1.16241,0.0049015,0.0049015,0.0049015
105,4179.39,1.4381,1.25786,1.1559,0.42971,0.34669,0.32884,0.19559,1.41655,1.24719,1.15888,0.004852,0.004852,0.004852
106,4217.4,1.43567,1.25081,1.15789,0.43128,0.34167,0.32814,0.19537,1.4196,1.23656,1.16038,0.0048025,0.0048025,0.0048025
107,4255.94,1.44055,1.25054,1.15533,0.41615,0.34066,0.32748,0.19413,1.42554,1.24101,1.16134,0.004753,0.004753,0.004753
108,4294.53,1.42894,1.23972,1.15478,0.44323,0.33942,0.3308,0.19588,1.42197,1.21795,1.16179,0.0047035,0.0047035,0.0047035
109,4333.05,1.429,1.23972,1.15134,0.41912,0.34657,0.32822,0.19524,1.41767,1.22001,1.15996,0.004654,0.004654,0.004654
110,4372,1.43289,1.23861,1.15472,0.42093,0.33296,0.32779,0.19552,1.41837,1.23112,1.16042,0.0046045,0.0046045,0.0046045
111,4410.21,1.43201,1.23544,1.14916,0.41749,0.3475,0.32986,0.19601,1.41999,1.22596,1.16012,0.004555,0.004555,0.004555
112,4448.24,1.43212,1.22984,1.15015,0.4234,0.35105,0.33446,0.20017,1.41952,1.22001,1.16065,0.0045055,0.0045055,0.0045055
113,4505.27,1.4246,1.22351,1.15177,0.44344,0.34115,0.3362,0.19958,1.4129,1.21399,1.15606,0.004456,0.004456,0.004456
114,4552.79,1.42841,1.22586,1.14902,0.42826,0.3414,0.33562,0.20033,1.41058,1.22109,1.15508,0.0044065,0.0044065,0.0044065
115,4591.39,1.43077,1.2212,1.14669,0.4213,0.35054,0.3367,0.20116,1.40771,1.20985,1.15144,0.004357,0.004357,0.004357
116,4629.17,1.42704,1.22215,1.14747,0.41828,0.35726,0.338,0.20075,1.4142,1.21534,1.15341,0.0043075,0.0043075,0.0043075
117,4666.9,1.42537,1.21954,1.14713,0.44459,0.33559,0.34124,0.20279,1.4074,1.21377,1.15184,0.004258,0.004258,0.004258
118,4710.38,1.42246,1.20807,1.14188,0.43283,0.34708,0.34134,0.20225,1.40781,1.21485,1.14948,0.0042085,0.0042085,0.0042085
119,4750.75,1.4134,1.20474,1.14207,0.42464,0.35966,0.34289,0.2037,1.40746,1.21689,1.15325,0.004159,0.004159,0.004159
